CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
168;MT;71127;C;29;0;;206.737;189.008;0.24604;Azul;131;
165;MT;71127;C;29;0;;206.737;189.008;0.24604;Rosa;132;
8;CH;72383;D;13;0;;146.343;0.63527;0.08852;Branco;134;
167;MT;71130;C;12;0;;208.886;257.501;0.18102;Azul;131;
166;MT;71130;C;12;0;;208.886;257.501;0.18102;Rosa;132;
156;MT;71832;B;25;0;;194.736;251.656;0.17967;Cinza;130;
168;MT;71130;C;12;0;;208.886;257.501;0.18102;Amarelo;129;
33;CH;71136;B;14;0;;24.248;104.526;0.11798;Amarelo;118;
28;CH;71136;B;14;0;;24.248;104.526;0.11798;Rosa;120;
7;CH;75451;A;17;0;;114.241;184.779;0.17173;Azul;117;
8;CH;75451;A;17;0;;114.241;184.779;0.17173;Branco;119;
9;CH;72658;D;30;0;;184.299;0.18821;0.16329;Branco;134;
13;CH;71139;E;26;0;;179.484;0.39595;0.44445;Amarelo;118;
8;CH;71139;E;26;0;;179.484;0.39595;0.44445;Azul;117;
13;CH;71139;E;26;0;;179.484;0.39595;0.44445;Rosa;120;
70;CN;71172;D;5;0;;0.64224;13.984;0.1161;Azul;121;
73;CN;71172;D;5;0;;0.64224;13.984;0.1161;Rosa;124;
74;CN;71172;D;5;0;;0.64224;13.984;0.1161;Amarelo;122;
64;CN;72808;A;28;0;;204.317;0.74057;0.12969;Branco;123;
84;CN;71182;A;1;0;;146.647;119.762;0.13775;Amarelo;122;
82;CN;71182;A;1;0;;146.647;119.762;0.13775;Rosa;124;
65;CN;70730;D;11;0;;112.977;18.135;0.26206;Branco;133;
84;CN;71182;A;1;0;;146.647;119.762;0.13775;Azul;121;
159;MT;71187;E;30;0;;163.381;236.775;0.09676;Amarelo;129;
159;MT;71187;E;30;0;;163.381;236.775;0.09676;Rosa;132;
163;MT;71187;E;30;0;;163.381;236.775;0.09676;Azul;131;
157;MT;70201;B;8;0;;1.63;290.487;0.21354;Cinza;130;
18;CH;71193;D;24;0;;135.946;0.66113;0.11357;Amarelo;118;
9;CH;73786;D;29;0;;201.408;0.9126;0.43892;Branco;119;
19;CH;71193;D;24;0;;135.946;0.66113;0.11357;Rosa;120;
9;CH;73555;D;27;0;;117.341;0.49445;0.17226;Azul;117;
65;CN;75744;E;22;0;;211.177;0.95099;0.18297;Branco;123;
179;MT;71221;A;12;0;;305.398;147.142;0.06279;Cinza;136;
140;MT;71238;B;27;0;;162.432;182.815;0.21852;Rosa;132;
142;MT;71238;B;27;0;;162.432;182.815;0.21852;Azul;131;
148;MT;71238;B;27;0;;162.432;182.815;0.21852;Amarelo;129;
158;MT;70540;C;19;0;;296.462;3.137;0.14003;Cinza;130;
49;CN;71251;A;17;0;;35.329;0.4356;0.25073;Azul;121;
66;CN;70106;E;13;0;;0.53142;319.792;0.0887;Branco;123;
51;CN;71251;A;17;0;;35.329;0.4356;0.25073;Rosa;124;
46;CN;71251;A;17;0;;35.329;0.4356;0.25073;Amarelo;122;
174;MT;71260;D;10;0;;127.346;18.163;0.09283;Cinza;136;
10;CH;75442;E;28;0;;119.204;0.10509;0.04078;Branco;134;
66;CN;73703;D;12;0;;0.80622;273.605;0.23661;Branco;133;
36;CH;71304;A;19;0;;288.594;0.59913;0.36915;Amarelo;118;
36;CH;71304;A;19;0;;288.594;0.59913;0.36915;Rosa;120;
10;CH;75438;B;28;0;;127.649;-210.568;0.0353;Azul;117;
10;CH;75717;A;26;0;;197.592;0.03668;0.24629;Branco;119;
20;CH;71336;E;22;0;;193.837;175.899;0.26629;Amarelo;118;
11;CH;72395;D;27;0;;20.529;0.72179;0.11112;Branco;134;
11;CH;73786;D;29;0;;201.408;0.9126;0.43892;Azul;117;
21;CH;71336;E;22;0;;193.837;175.899;0.26629;Rosa;120;
108;LC;71341;C;13;0;;0.8791;130.382;0.18765;Cinza;135;
141;MT;71393;E;27;0;;166.697;293.754;0.06724;Cinza;136;
107;LC;71394;E;12;0;;152.971;0.1632;0.05262;Cinza;135;
171;MT;71403;A;19;0;;507.481;221.367;0.15883;Cinza;136;
162;MT;71406;A;28;0;;159.786;238.741;0.09931;Cinza;136;
97;LC;73296;E;10;0;;15.098;0.51813;0.11306;Cinza;126;
135;LC;71418;A;30;0;;10.275;0.43957;0.00725;Rosa;128;
134;LC;71418;A;30;0;;10.275;0.43957;0.00725;Azul;127;
133;LC;71418;A;30;0;;10.275;0.43957;0.00725;Amarelo;125;
131;LC;71422;D;23;0;;137.532;0.2041;0.06259;Cinza;135;
98;LC;73671;D;2;0;;283.869;0.96487;0.19268;Cinza;126;
94;LC;71451;A;7;0;;208.444;0.12125;0.0931;Rosa;128;1
95;LC;71451;A;7;0;;208.444;0.12125;0.0931;Amarelo;125;1
95;LC;71451;A;7;0;;208.444;0.12125;0.0931;Azul;127;1
160;MT;71480;D;28;0;;170.989;0.47337;0.12381;Cinza;136;
25;CH;71502;B;4;0;;226.069;0.48852;0.20681;Amarelo;118;
11;CH;73538;A;28;0;;187.044;-0.35977;0.23781;Branco;119;
25;CH;71502;B;4;0;;226.069;0.48852;0.20681;Rosa;120;
12;CH;75717;A;26;0;;197.592;0.03668;0.24629;Azul;117;
137;MT;71504;A;26;0;;130.192;0.79319;0.12714;Cinza;136;
12;CH;70814;B;8;0;;144.901;0.49263;0.13012;Branco;134;
130;LC;71563;A;25;0;;32.395;0.14981;0.22707;Rosa;128;
130;LC;71563;A;25;0;;32.395;0.14981;0.22707;Amarelo;125;
130;LC;71563;A;25;0;;32.395;0.14981;0.22707;Azul;127;
99;LC;58193;C;16;0;;136.373;115.475;0.12693;Cinza;126;
12;CH;75438;B;28;0;;127.649;-210.568;0.0353;Branco;119;
13;CH;73538;A;28;0;;187.044;-0.35977;0.23781;Azul;117;
16;CH;71584;A;8;0;;186.075;0.39947;0.3565;Rosa;120;
